Updated_Date,Valve_Type,Valve_Size,Valve_Useage,Cover,Lid_Type,Valve_Cond,Valve_Stat,Valve_Position,Turns,Depth_Nut,Location,Comment,Rotation,POINT_X,POINT_Y
4/4/2012,GV,6.00000000000,Inline,Asphalt,910,Good,Working,Open,21.00000000000,39.00000000000,se lenor circle and se 40th street,,45,7719896.36931000000,678725.25159600000
4/4/2012,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,21.00000000000,33.00000000000,se 40th street and se lenor circle,hydrant valve,45,7719848.62892000000,678709.29657600000
11/22/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,19.00000000000,32.00000000000,se viewpoint,imported gps data from 11/7/2011,0,7720683.92580000000,676423.55738100000
11/22/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,32.00000000000,se viewpoint,imported gps data from 11/7/2011,0,7720683.95402000000,676788.94707000000
11/22/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,27.00000000000,se 48th place,imported gps data from 11/7/2011,0,7720406.93686000000,676772.91757400000
11/22/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,35.00000000000,se 46 th,imported gps data from 11/7/2011,87,7720470.68673000000,677100.98286300000
11/22/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,29.00000000000,se viewpoint hydrant valve,imported gps data from 11/7/2011,0,7720683.78899000000,677177.02470600000
11/22/2011,GV,2.00000000000,Blow Off,Asphalt,926,Good,Working,Closed,8.00000000000,29.00000000000,se sweetbrier rd,imported gps data from 11/7/2011,0,7720803.23068000000,677393.60038800000
11/22/2011,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,29.00000000000,se viewpoint,imported gps data from 11/7/2011,0,7720662.36712000000,677500.61953100000
11/22/2011,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,27.00000000000,25.00000000000,se viewpoint /se walter circle,imported gps data from 11/7/2011,10,7720668.32774000000,677554.31627400000
11/22/2011,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,27.00000000000,25.00000000000,se viewpoint /se walter circle,imported gps data from 11/7/2011,98,7720669.58299000000,677555.18503900000
11/22/2011,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,27.00000000000,25.00000000000,se viewpoint /se walter circle,imported gps data from 11/7/2011,90,7720669.32544000000,677552.89206400000
8/12/2014,,0.00000000000,,,,,,,0.00000000000,0.00000000000,SE SWEETBRIAR RD,COLLECT DATA,90,7719654.13751000000,677760.57767200000
11/22/2011,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,23.00000000000,se viewpoint /se topaz dr,imported gps data from 11/7/2011,15,7720727.98280000000,677722.69093700000
8/12/2014,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,26.00000000000,22.00000000000,se viewpoint /se topaz,imported gps data from 11/7/2011,-60,7720754.76425000000,677774.96609500000
8/12/2014,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,26.00000000000,22.00000000000,se viewpoint / se topaz,imported gps data from 11/7/2011,20,7720753.32462000000,677774.25382600000
8/12/2014,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,26.00000000000,22.00000000000,se viewpoint /se topaz,imported gps data from 11/7/2011,-60,7720753.85677000000,677772.76367200000
8/12/2014,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,21.00000000000,25.00000000000,se topaz hydrant valve,imported gps data from 11/7/2011,90,7720498.47768000000,677817.02539400000
11/22/2011,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,26.00000000000,19.00000000000,se topaz,imported gps data from 11/7/2011,45,7720473.70510000000,677827.78587100000
11/22/2011,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,26.00000000000,19.00000000000,se topaz,imported gps data from 11/7/2011,130,7720470.81895000000,677829.32556600000
11/22/2011,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,26.00000000000,17.00000000000,se  topaz,imported gps data from 11/7/2011,0,7720644.13750000000,678039.95277000000
8/12/2014,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,26.00000000000,16.00000000000,se topaz,imported gps data from 11/7/2011,90,7720645.27660000000,678041.05348900000
11/22/2011,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,26.00000000000,16.00000000000,se topaz,imported gps data from 11/7/2011,0,7720646.53448000000,678039.94653600000
11/22/2011,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,26.00000000000,se topaz dr hydrant valve,imported gps data from 11/7/2011,0,7720646.83205000000,678101.28237200000
8/12/2014,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,26.00000000000,22.00000000000,se topaz /se althaus dr,imported gps data from 11/7/2011,90,7720648.94326000000,678288.77510700000
11/22/2011,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,26.00000000000,25.00000000000,se topaz /se althaus,imported gps data from 11/7/2011,0,7720650.90061000000,678289.71900300000
11/23/2011,GV,6.00000000000,Inline,Asphalt,926,Good,Working,Open,20.00000000000,31.00000000000,se topaz /se althaus,imported gps data from 11/7/2011,90,7720632.08569000000,678290.77280600000
8/13/2014,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,29.00000000000,se althaus dr,imported gps data from 11/7/2011,90,7720594.72159000000,678288.20293000000
8/13/2014,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,25.00000000000,1208 se althaus dr,,15,7721085.51883000000,678569.99436100000
